84424	276
84424	1662
84424	5089
84424	6058
84424	6229
84424	10639
84424	16442
84424	19325
84424	19834
84424	20113
84424	21937
84424	25452
84424	26902
84424	29829
84424	30222
84424	32432
84424	33040
84424	39238
84424	39521
84424	41418
84424	45009
84424	45098
84424	45242
84424	47005
84424	47968
84424	47999
84424	49934
84424	50220
84424	50897
84424	51730
84424	53681
84424	57537
84424	58458
84424	59326
84424	61571
84424	63552
84424	64124
84424	64568
84424	66200
84424	69839
84424	72391
84424	73543
84424	76259
84424	77098
84424	77915
84424	78627
84424	83560
84424	85420
84424	88768
84424	89131
84424	89308
84424	89994
84424	90506
84424	91060
84424	92387
84424	93296
84424	94138
84424	94329
84424	95070
84424	95531
84424	96570
84424	97101
84424	98506
84424	99104
84424	104802
84424	106611
84424	107829
84424	109016
84424	112605
84424	117751
84424	122908
84424	124023
84424	125190
84424	130825
84424	132445
89308	560
89308	15829
89308	42972
89308	55528
89308	57618
89308	60310
89308	63707
89308	63769
89308	68320
89308	73543
89308	75607
89308	84424
89308	92552
89308	93762
89308	93889
89308	94138
89308	95860
89308	96909
89308	99870
89308	112293
89308	113138
89308	116343
89308	116453
89308	118859
89308	121831
89308	122003
89308	123268
89308	125345
89308	127886
89308	129530
89308	129910
89308	132104
94138	2175
94138	3365
94138	4279
94138	4930
94138	5335
94138	8445
94138	9039
94138	10976
94138	11050
94138	11580
94138	19204
94138	21937
94138	23986
94138	24075
94138	26526
94138	28516
94138	28787
94138	31404
94138	33777
94138	34608
94138	35729
94138	36907
94138	37861
94138	38921
94138	42512
94138	42994
94138	44011
94138	46847
94138	47856
94138	50991
94138	52870
94138	53890
94138	55233
94138	56117
94138	58532
94138	59151
94138	59173
94138	60390
94138	61461
94138	61472
94138	61571
